cup_de;cup_en;track_de;track_en;game
Pilz;Mushroom;Mario Kart-Stadion;Mario Kart Stadium;Switch
Pilz;Mushroom;Wasserpark;Water Park;Switch
Pilz;Mushroom;Zuckersüßer Canyon;Sweet Sweet Canyon;Switch
Pilz;Mushroom;Steinblock-Ruinen;Thwomp Ruins;Switch
Blumen;Flower;Marios Piste;Mario Circuit(Switch);Switch
Blumen;Flower;Toads Hafenstadt;Toad Harbor;Switch
Blumen;Flower;Gruselwusel-Villa;Twisted Mansion;Switch
Blumen;Flower;Shy Guys Wasserfälle;Shy Guy Falls;Switch
Stern;Star;Sonnenflughafen;Sunshine Airport;Switch
Stern;Star;Delfinlagune;Dolphin Shoals;Switch
Stern;Star;Discodrom;Electrodrome;Switch
Stern;Star;Wario-Abfahrt;Mount Wario;Switch
Spezial;Special;Wolkenstraße;Cloudtop Cruise;Switch
Spezial;Special;Knochentrockene Dünen;Bone Dry Dunes;Switch
Spezial;Special;Bowsers Castle;Bowser's Castle;Switch
Spezial;Special;Regenbogen-Boulevard(8);Rainbow Road(8);Switch
Ei;Egg;Yoshis Piste;Yoshi Circuit;GCN
Ei;Egg;Excitebike-Stadion;Excitebike Arena;Switch
Ei;Egg;Große Drachenmauer;Dragon Driftway;Switch
Ei;Egg;Mute City;Mute City;Switch
Crossing;Crossing;Baby-Park;Baby Park;GCN
Crossing;Crossing;Käseland;Cheese Land;GBA
Crossing;Crossing;Wilder Wipfelweg;Wild Woods;Switch
Crossing;Crossing;Animal Crossing-Dorf;Animal Crossing;Switch
Panzer;Shell;Kuhmuh-Weide;Moo Moo Meadows;Wii
Panzer;Shell;Marios Piste;Mario Circuit;GBA
Panzer;Shell;Cheep-Cheep-Strand;Cheep Cheep Beach;DS
Panzer;Shell;Toads Autobahn;Toad's Turnpike;N64
Bananen;Banana;Staubtrockene Wüste;Dry Dry Desert;GCN
Bananen;Banana;Donut-Ebene 3;Donut Plains 3;SNES
Bananen;Banana;Königliche rennpiste;Royal Raceway;N64
Bananen;Banana;DK Dschungel;DK Jungle;3DS
Blatt;Leaf;Wario-Arena;Wario Stadium;DS
Blatt;Leaf;Sorbet-Land;Sherbet Land;GCN
Blatt;Leaf;Instrumentalpiste;Melody Motorway;3DS
Blatt;Leaf;Yoshi-Tal;Yoshi Valley;N64
Blitz;Lightning;Ticktack-Trauma;Tick-Tock Clock;DS
Blitz;Lightning;Röhrenraserei;Piranha Plant Pipeway;3DS
Blitz;Lightning;Vulkangrollen;Grumble Volcano;Wii
Blitz;Lightning;Regenbogen-Boulevard(N64);Rainbow Road(N64);N64
Triforce;Triforce;Warios Goldmine;Wario's Gold Mine;Wii
Triforce;Triforce;Regenbogen-Boulevard (SNES);Rainbow Road(SNES);SNES
Triforce;Triforce;Polarkreis-Parcours;Ice Ice Outpost;Switch
Triforce;Triforce;Hyrule-Piste;Hyrule Circuit;Switch
Glocken;Bell;Koopa-Großstadtfieber;Koopa City;3DS
Glocken;Bell;Party-Straße;Ribbon Road;GBA
Glocken;Bell;Marios Metro;Super Bell Subway;Switch
Glocken;Bell;Big Blue;Big Blue;Switch
Goldener Turbo;Golden Dash;Paris-Parcours;Paris Promenade;Tour
Goldener Turbo;Golden Dash;Toads-Piste;Toad Circuit;3DS
Goldener Turbo;Golden Dash;Schoko-Sumpf;Choco Mountain;N64
Goldener Turbo;Golden Dash;Kokos-Promenade;Coconut Mall;Wii
Glückskatzen;Lucky Cat;Tokyo-Tempotour;Tokyo Blur;Tour
Glückskatzen;Lucky Cat;Pilz-Pass;Shroom Ridge;DS
